component,donor_sd,cytokine_sd,donor_quantile,cytokine_quantile
0,0.03165653581643403,0.005772885303854641,0.9,0.935
1,0.049409092983626564,0.004163687948488643,0.97,0.8
2,0.035402894896239066,0.005238995124661767,0.925,0.92
3,0.032576395640924447,0.00412473470065479,0.91,0.785
4,0.12500406373291875,0.01215409151957522,1.0,0.995
5,0.05302850016494183,0.006293492684449761,0.98,0.945
6,0.021408148245210947,0.004574543406074861,0.815,0.87
7,0.03581866086511823,0.009471108589401209,0.93,0.985
8,0.04303666068523408,0.009444836873094485,0.965,0.98
9,0.03655482502133242,0.004792919218189265,0.94,0.89
10,0.01337221139654064,0.003489350118286699,0.62,0.43
11,0.028170418975760086,0.005138962549010966,0.88,0.91
12,0.035372058995844044,0.007167926350162123,0.92,0.96
13,0.020421672101640292,0.0036395551686839236,0.79,0.565
14,0.01739523970112075,0.0035223901836745485,0.75,0.48
15,0.03586948598545888,0.003916341569049422,0.935,0.75
16,0.04239528551990039,0.003610908314661797,0.96,0.55
17,0.012671886007633776,0.003661156970478903,0.59,0.585
18,0.020251763302077366,0.005108060501456966,0.78,0.905
19,0.026374290637673145,0.005037085424522356,0.87,0.9
20,0.032328051441743694,0.007550905412863737,0.905,0.965
21,0.025792218512134816,0.004523194351448423,0.855,0.865
22,0.0717694144472854,0.005158168910728248,0.99,0.915
23,0.0299264495198259,0.004188843745384701,0.885,0.805
24,0.030094107178930574,0.01332625704953193,0.89,1.0
25,0.025766297738963714,0.004506622944415157,0.85,0.85
26,0.02278967986211201,0.003737867618648313,0.825,0.635
27,0.07603009953628456,0.0061908735049316654,0.995,0.94
28,0.04017646920457477,0.00842908939457774,0.95,0.97
29,0.05840465109000171,0.008620888737931305,0.985,0.975
30,0.021405477484072354,0.004269733192959869,0.81,0.81
31,0.03355580025855718,0.004162313007454013,0.915,0.795
32,0.040990232617841516,0.010565688715447379,0.955,0.99
33,0.010687830257964145,0.003990766207816539,0.52,0.775
34,0.011267289328020447,0.003610597340085389,0.535,0.545
35,0.02367485713671912,0.004147371878870209,0.83,0.79
36,0.010097144821770354,0.003928383955527787,0.495,0.77
37,0.05200947028651372,0.0046750512137627145,0.975,0.885
38,0.01684378391794814,0.003837479754098561,0.74,0.715
39,0.010023703563512938,0.0037856131290755265,0.48,0.685
40,0.020835636334208586,0.003801051283530021,0.795,0.695
41,0.031243058823289,0.004912962547621055,0.895,0.895
42,0.016654682608600917,0.003307116398703649,0.73,0.155
43,0.007694826231821927,0.003602270988532405,0.285,0.54
44,0.015142853614278765,0.0037502345718486707,0.7,0.655
45,0.01156947560143392,0.003460300012319972,0.565,0.405
46,0.006514784607039221,0.003316327090857763,0.11,0.18
47,0.01373628352454748,0.0033944495753833875,0.645,0.305
48,0.020894426912879023,0.003910568202997504,0.8,0.74
49,0.015095146432008643,0.0034091101562557288,0.695,0.325
50,0.01842310001975864,0.0033290313343685212,0.765,0.195
51,0.011455522509949792,0.004307958530825952,0.55,0.83
52,0.015148585955575972,0.003571730244019083,0.705,0.52
53,0.020411582588482285,0.004463981516850859,0.785,0.845
54,0.013497678824389429,0.0039053229393305067,0.635,0.735
55,0.007932876342625569,0.0035145343916319974,0.335,0.46
56,0.006925592783202962,0.003412527837879429,0.165,0.33
57,0.008830228507851836,0.0033481691981004607,0.435,0.23
58,0.011227439131882625,0.0036780261033811964,0.53,0.6
59,0.015016924856817306,0.004039629683432109,0.69,0.78
60,0.007892008594155252,0.003673596915552286,0.325,0.595
61,0.011543366734819057,0.0035114693628745686,0.56,0.45
62,0.02679100886668525,0.003851475529280882,0.875,0.72
63,0.021993429617970187,0.003915003910658025,0.82,0.745
64,0.011527737358123001,0.003920155303989782,0.555,0.76
65,0.013173872388093024,0.0033858826344993274,0.61,0.285
66,0.009292319234265996,0.003689670245841981,0.46,0.61
67,0.03907552439432194,0.006319831280909391,0.945,0.95
68,0.014846888528877071,0.003784575360419592,0.685,0.68
69,0.01344131869310415,0.0038661291375923588,0.625,0.725
70,0.016241065793430726,0.00338997239625455,0.72,0.29
71,0.01701403710589923,0.0037417690072253876,0.745,0.645
72,0.007323472179503435,0.003568721223802857,0.225,0.515
73,0.017594193492026736,0.003372628338142135,0.755,0.26
74,0.006149652383300766,0.0032607186689520124,0.075,0.115
75,0.007195724001783183,0.0034484935109736726,0.21,0.39
76,0.006299957234676695,0.0031309959338904586,0.09,0.015
77,0.007889901428057459,0.0033782736778385286,0.32,0.265
78,0.018407346998504485,0.004617883186074007,0.76,0.875
79,0.012627139915478735,0.0033511305875957792,0.58,0.235
80,0.01848428594807307,0.0037472293014119483,0.77,0.65
81,0.008863062810997925,0.003334958925643599,0.445,0.205
82,0.010306316627895154,0.003271333761242217,0.505,0.125
83,0.007073210889005208,0.003405636024407096,0.185,0.315
84,0.014058174092736929,0.0035006420184005875,0.655,0.44
85,0.007918528482205823,0.0038368986513805797,0.33,0.71
86,0.006021205422203519,0.0033985292217180827,0.06,0.31
87,0.006934895583108904,0.003249026762279422,0.17,0.085
88,0.014542084719536033,0.004313726392010226,0.675,0.835
89,0.007706159875352563,0.003642575563489729,0.29,0.575
90,0.01565548019881249,0.003580316636091069,0.715,0.53
91,0.009538556433910893,0.0033588941668306195,0.465,0.245
92,0.007410637040265691,0.0033133634484273852,0.235,0.165
93,0.010034844721821128,0.0034408199132819985,0.485,0.37
