component,donor_sd,cytokine_sd,donor_quantile,cytokine_quantile
94,0.020971315028273502,0.0044091918584880955,0.805,0.84
95,0.007568829085844113,0.003637635764101425,0.26,0.56
96,0.026365340701396994,0.00387139274688496,0.865,0.73
97,0.025103585526286058,0.006624938800330935,0.84,0.955
98,0.008318604176760955,0.0033933077372284687,0.37,0.3
99,0.013031148418625389,0.003790830946931783,0.605,0.69
100,0.016674171581322176,0.0034209846033347617,0.735,0.35
101,0.013315034505003875,0.0038243670428499224,0.615,0.7
102,0.007645119571602056,0.004278290173916094,0.265,0.815
103,0.007505991519787241,0.0032930417677680505,0.255,0.15
104,0.007467869449877638,0.0033529289302435352,0.25,0.24
105,0.014059920033123445,0.004306695838069738,0.66,0.825
106,0.006074114769605866,0.003253355397894781,0.07,0.095
107,0.01946015875408337,0.0053244141485047055,0.775,0.925
108,0.008479122419261294,0.0033150372577661438,0.405,0.17
109,0.013705026893261252,0.004523002183165134,0.64,0.86
110,0.026187634569576516,0.0046259049243877765,0.86,0.88
111,0.005705036303952189,0.0036929076522847705,0.035,0.615
112,0.012677174724913925,0.0037749998673972537,0.595,0.67
113,0.006488905526048023,0.0031883684182668543,0.105,0.035
114,0.010034905993523913,0.00356502915157447,0.49,0.51
115,0.006051640677501092,0.003575578967518348,0.065,0.525
116,0.008014160049015262,0.00346430466461644,0.345,0.41
117,0.008627937276214609,0.003445320113929812,0.415,0.38
118,0.00784709687172672,0.003321935121712825,0.315,0.19
119,0.009955458895858185,0.0034997417820158317,0.475,0.435
120,0.009898402968567303,0.0033293431425172257,0.47,0.2
121,0.007172354918325077,0.003362142672510654,0.205,0.25
122,0.01284693484563698,0.0033915209387457216,0.6,0.295
123,0.00805524080209996,0.003342255345722031,0.35,0.22
124,0.008864660166904507,0.00327887964551084,0.45,0.14
125,0.0068116775441158794,0.0033352937052698014,0.155,0.21
126,0.01206333165665596,0.003524377638579761,0.57,0.485
127,0.008336178895500404,0.003247938104840401,0.375,0.08
128,0.0243254059171402,0.003916986199815221,0.835,0.755
129,0.013907057170411005,0.003772623851623412,0.65,0.665
130,0.006359421931502981,0.0034361509283199216,0.095,0.365
131,0.008411766201491536,0.003681268794298733,0.39,0.605
132,0.008739616079854575,0.0034272078716294768,0.42,0.355
133,0.007429865866458258,0.003107207330739506,0.24,0.01
134,0.014106230234559147,0.005480265496691539,0.665,0.93
135,0.004820958097132311,0.0031647478694049325,0.01,0.025
136,0.00860532617980023,0.0032156948268757357,0.41,0.055
137,0.014818371248918412,0.004513866534398963,0.68,0.855
138,0.00807538876767694,0.0034181339957099354,0.355,0.34
139,0.016428300984214418,0.0037390421549791885,0.725,0.64
140,0.012122122870285806,0.0033857041425626702,0.575,0.28
141,0.005940691988315901,0.003500984102853839,0.055,0.445
142,0.010270901548057482,0.0034497287539688713,0.5,0.395
143,0.014349323978036831,0.0036677598114903663,0.67,0.59
144,0.0076896796631937695,0.003428410515727729,0.28,0.36
145,0.008861967609211237,0.0032603082835686438,0.44,0.11
146,0.006470357997531302,0.0033163199740407832,0.1,0.175
147,0.0070297246529208955,0.0035203138467875283,0.18,0.475
148,0.010478023079157494,0.003269470606300537,0.515,0.12
149,0.007434712833489554,0.0034410836785660104,0.245,0.375
150,0.0077357837761455215,0.0034757057155328313,0.3,0.42
151,0.009074097733011766,0.003519700149425772,0.455,0.47
152,0.006774869786742132,0.0033423223321567773,0.15,0.225
153,0.007343247596677934,0.0034070226944929883,0.23,0.32
154,0.00843220881137984,0.0032780573904743824,0.395,0.135
155,0.005750072154836159,0.0033787240389775556,0.04,0.27
156,0.007113863939751484,0.003541818384747194,0.195,0.5
157,0.0153302000511397,0.003644285585084182,0.71,0.58
158,0.008818743721150143,0.003419556599377816,0.43,0.345
159,0.0069158165030240295,0.0031641303358104847,0.16,0.02
160,0.006629014407438885,0.003447628736088812,0.12,0.385
161,0.005231818088686502,0.003618951979116793,0.025,0.555
162,0.007966297041664731,0.003834790118641996,0.34,0.705
163,0.008215367239178699,0.0035436037585484855,0.36,0.505
164,0.005030160027549326,0.003372150111438951,0.02,0.255
165,0.011426085934930373,0.003640204717794031,0.545,0.57
166,0.006251250745148062,0.0033805096426098684,0.085,0.275
167,0.01032625274493645,0.0034497803398656933,0.51,0.4
168,0.01069745965216569,0.003599519308395838,0.525,0.535
169,0.006725682426348005,0.0032298968904447478,0.13,0.065
170,0.011349528182571521,0.004280351500575049,0.54,0.82
171,0.008393837971152032,0.0036961572870371005,0.38,0.62
172,0.00845679567880516,0.0035382290973051274,0.4,0.495
173,0.007148854569708195,0.003188647868243836,0.2,0.04
174,0.007293040014984817,0.003205559417254148,0.22,0.05
175,0.007713054464563172,0.003712625338740823,0.295,0.625
176,0.013449609434135828,0.003718856651783028,0.63,0.63
177,0.008401883528270804,0.00347423327848763,0.385,0.415
178,0.007228737853358818,0.003781718925265961,0.215,0.675
179,0.008776018029003206,0.0035191107147493337,0.425,0.465
180,0.008270946060399385,0.003514078370655629,0.365,0.455
181,0.012642753954946148,0.003922625023238269,0.585,0.765
182,0.007652671429448788,0.00323713427103388,0.27,0.07
183,0.006761093914351301,0.0035344443683240313,0.145,0.49
184,0.006749434646315585,0.0032723069556105425,0.135,0.13
185,0.005794120310978458,0.0032453548830851616,0.045,0.075
186,0.006228934088963845,0.0031763437648872294,0.08,0.03
187,0.006671844930224619,0.00330947391182275,0.125,0.16
188,0.005912580410304425,0.003204553473118014,0.05,0.045
189,0.006760654256736997,0.0034176979559654656,0.14,0.335
190,0.025629749506246673,0.003320439859409613,0.845,0.185
191,0.005016095365426374,0.0032250261199678683,0.015,0.06
192,0.005399984485239312,0.0033392051602096876,0.03,0.215
193,0.007663306488601649,0.003260222415886441,0.275,0.105
194,0.00709524081797504,0.0030236507253361875,0.19,0.005
195,0.0065715859856172905,0.0032531007327575028,0.115,0.09
196,0.0045310315519974465,0.003485094760145298,0.005,0.425
197,0.0077642030759200766,0.0037524975948926703,0.305,0.66
198,0.007776756573456794,0.003287688926806601,0.31,0.145
199,0.007029448914330276,0.003257807602435065,0.175,0.1
