,doublet
89_105_009__s1,0.0
89_105_028__s1,0.0
89_105_148__s1,0.0
89_105_157__s1,0.0
89_106_029__s1,0.0
89_106_034__s1,0.0
89_106_071__s1,1.0
89_106_084__s1,0.0
89_106_115__s1,1.0
89_118_011__s1,0.0
89_118_091__s1,1.0
89_118_137__s1,0.0
89_118_159__s1,0.0
89_129_047__s1,0.0
89_129_048__s1,0.0
89_129_101__s1,0.0
89_129_161__s1,0.0
89_130_001__s1,0.0
89_130_012__s1,0.0
89_130_128__s1,0.0
89_141_099__s1,0.0
89_142_089__s1,1.0
89_142_090__s1,0.0
89_142_100__s1,0.0
89_142_137__s1,0.0
89_142_176__s1,0.0
89_153_132__s1,0.0
89_153_148__s1,0.0
89_153_151__s1,0.0
89_154_020__s1,0.0
89_154_069__s1,0.0
89_154_143__s1,0.0
89_165_095__s1,0.0
89_165_100__s1,0.0
89_166_012__s1,0.0
89_166_042__s1,0.0
89_166_153__s1,0.0
89_177_023__s1,1.0
89_177_033__s1,1.0
89_177_035__s1,0.0
89_177_113__s1,0.0
89_177_124__s1,0.0
89_178_001__s1,0.0
89_178_015__s1,0.0
89_189_036__s1,0.0
89_189_061__s1,0.0
89_189_070__s1,0.0
89_189_142__s1,0.0
89_189_145__s1,0.0
89_190_061__s1,0.0
66_105_010__s1,0.0
66_105_105__s1,0.0
66_105_124__s1,0.0
66_105_157__s1,0.0
66_106_070__s1,0.0
66_106_102__s1,0.0
66_106_120__s1,0.0
66_106_148__s1,0.0
66_106_161__s1,0.0
66_117_106__s1,1.0
66_117_171__s1,0.0
66_117_179__s1,0.0
66_118_006__s1,1.0
66_118_026__s1,0.0
66_118_088__s1,0.0
66_118_168__s1,0.0
66_118_173__s1,0.0
66_129_025__s1,0.0
66_129_079__s1,0.0
66_129_115__s1,0.0
66_129_181__s1,0.0
66_130_012__s1,0.0
66_130_129__s1,1.0
66_130_180__s1,0.0
66_141_048__s1,0.0
66_141_107__s1,0.0
66_141_137__s1,0.0
66_141_188__s1,0.0
66_142_027__s1,0.0
66_142_054__s1,0.0
66_142_146__s1,0.0
66_153_090__s1,0.0
66_154_076__s1,0.0
66_154_121__s1,0.0
66_154_137__s1,0.0
66_165_023__s1,0.0
66_166_022__s1,0.0
66_166_043__s1,0.0
66_166_109__s1,0.0
66_166_117__s1,0.0
66_166_191__s1,0.0
66_177_022__s1,0.0
66_177_027__s1,1.0
66_177_171__s1,1.0
66_189_074__s1,0.0
66_189_088__s1,0.0
25_105_020__s1,0.0
25_105_043__s1,0.0
25_105_154__s1,0.0
25_106_038__s1,1.0
25_106_051__s1,0.0
25_106_085__s1,0.0
25_106_108__s1,0.0
25_106_117__s1,1.0
25_106_146__s1,0.0
25_106_170__s1,0.0
25_118_014__s1,0.0
25_118_095__s1,0.0
25_129_083__s1,0.0
25_130_038__s1,0.0
25_141_008__s1,0.0
25_141_098__s1,0.0
25_141_162__s1,0.0
25_142_002__s1,0.0
25_142_022__s1,0.0
25_142_145__s1,0.0
25_142_154__s1,0.0
25_153_038__s1,0.0
25_153_046__s1,0.0
25_153_110__s1,0.0
25_153_131__s1,1.0
25_154_023__s1,0.0
25_165_027__s1,0.0
25_166_145__s1,0.0
25_177_035__s1,0.0
25_177_144__s1,0.0
25_178_061__s1,0.0
25_178_088__s1,0.0
25_189_092__s1,0.0
25_189_129__s1,0.0
25_190_014__s1,0.0
25_190_055__s1,1.0
25_190_109__s1,0.0
37_105_073__s1,0.0
37_105_151__s1,0.0
37_105_176__s1,0.0
37_106_010__s1,1.0
37_106_011__s1,0.0
37_106_078__s1,0.0
37_106_092__s1,0.0
37_117_067__s1,0.0
37_117_089__s1,0.0
37_117_184__s1,0.0
37_118_064__s1,0.0
37_129_019__s1,0.0
37_129_121__s1,0.0
37_129_136__s1,0.0
37_129_145__s1,0.0
37_130_036__s1,0.0
37_130_056__s1,0.0
37_130_130__s1,0.0
37_130_135__s1,1.0
37_141_047__s1,0.0
37_141_115__s1,0.0
37_141_162__s1,0.0
37_141_173__s1,0.0
37_142_103__s1,0.0
37_142_106__s1,0.0
37_142_114__s1,0.0
37_153_035__s1,0.0
37_153_146__s1,0.0
37_154_050__s1,0.0
37_165_024__s1,0.0
37_165_045__s1,0.0
37_166_070__s1,0.0
37_166_154__s1,0.0
37_166_174__s1,0.0
37_166_182__s1,0.0
37_177_080__s1,1.0
37_177_103__s1,0.0
37_178_003__s1,0.0
37_178_010__s1,0.0
37_178_114__s1,0.0
37_189_114__s1,0.0
37_189_176__s1,0.0
37_190_151__s1,1.0
52_105_110__s1,0.0
52_106_008__s1,0.0
52_106_139__s1,0.0
52_106_150__s1,0.0
52_117_013__s1,0.0
52_117_045__s1,0.0
52_117_071__s1,0.0
52_117_073__s1,0.0
52_117_148__s1,0.0
52_118_045__s1,0.0
52_118_065__s1,0.0
52_118_189__s1,0.0
52_118_191__s1,0.0
52_118_192__s1,0.0
52_129_060__s1,0.0
52_129_137__s1,0.0
52_130_044__s1,0.0
52_130_081__s1,0.0
52_130_167__s1,0.0
52_130_175__s1,0.0
52_141_007__s1,0.0
52_141_018__s1,0.0
52_141_167__s1,0.0
52_141_188__s1,0.0
52_142_051__s1,0.0
52_142_053__s1,0.0
52_142_087__s1,0.0
52_142_152__s1,0.0
52_153_016__s1,0.0
52_154_060__s1,0.0
52_154_064__s1,0.0
52_154_069__s1,0.0
52_154_129__s1,0.0
52_154_170__s1,0.0
52_165_096__s1,0.0
52_165_102__s1,0.0
52_166_005__s1,0.0
52_177_028__s1,0.0
52_189_011__s1,0.0
52_190_061__s1,0.0
52_190_083__s1,0.0
52_190_129__s1,0.0
52_190_159__s1,0.0
85_105_005__s1,0.0
85_105_008__s1,0.0
85_105_024__s1,0.0
85_105_104__s1,0.0
85_105_143__s1,0.0
85_106_035__s1,1.0
85_117_029__s1,0.0
85_117_071__s1,1.0
85_117_086__s1,0.0
85_117_133__s1,0.0
85_117_168__s1,0.0
85_118_067__s1,0.0
85_118_075__s1,0.0
85_118_093__s1,0.0
85_118_128__s1,0.0
85_118_132__s1,0.0
85_118_139__s1,0.0
85_129_096__s1,0.0
85_129_126__s1,0.0
85_130_074__s1,0.0
85_130_123__s1,0.0
85_130_144__s1,0.0
85_141_022__s1,0.0
85_141_138__s1,0.0
85_142_053__s1,0.0
85_153_034__s1,1.0
85_153_140__s1,0.0
85_153_152__s1,1.0
85_154_143__s1,0.0
85_154_146__s1,0.0
85_154_192__s1,0.0
85_165_053__s1,0.0
85_165_104__s1,0.0
85_165_117__s1,0.0
85_166_010__s1,0.0
85_166_020__s1,0.0
85_166_047__s1,0.0
85_166_155__s1,0.0
85_177_039__s1,1.0
85_177_080__s1,0.0
85_177_086__s1,1.0
85_178_120__s1,0.0
85_189_047__s1,0.0
85_189_061__s1,0.0
85_189_062__s1,0.0
85_189_136__s1,0.0
85_189_139__s1,0.0
85_190_021__s1,0.0
85_190_036__s1,0.0
85_190_038__s1,0.0
85_190_070__s1,1.0
85_190_098__s1,1.0
85_190_159__s1,0.0
42_105_065__s1,0.0
42_117_142__s1,0.0
42_117_174__s1,1.0
42_129_079__s1,0.0
42_129_093__s1,0.0
42_129_099__s1,0.0
42_141_075__s1,0.0
42_142_040__s1,0.0
42_142_133__s1,0.0
42_142_191__s1,0.0
42_153_106__s1,0.0
42_153_150__s1,0.0
42_165_008__s1,0.0
42_165_100__s1,0.0
42_165_106__s1,0.0
42_166_014__s1,0.0
42_166_074__s1,0.0
42_166_105__s1,0.0
42_177_031__s1,0.0
42_178_019__s1,0.0
42_178_146__s1,0.0
42_178_184__s1,0.0
42_190_046__s1,1.0
42_190_079__s1,0.0
42_190_080__s1,0.0
43_105_029__s1,0.0
43_105_131__s1,0.0
43_105_142__s1,0.0
43_106_004__s1,0.0
43_106_135__s1,0.0
43_117_124__s1,0.0
43_117_141__s1,0.0
43_117_158__s1,1.0
43_118_022__s1,0.0
43_118_037__s1,1.0
43_118_081__s1,0.0
43_118_152__s1,0.0
43_118_182__s1,0.0
43_129_019__s1,0.0
43_129_033__s1,0.0
43_130_083__s1,0.0
43_142_004__s1,0.0
43_142_141__s1,0.0
43_153_091__s1,0.0
43_154_088__s1,0.0
43_154_115__s1,0.0
43_165_006__s1,0.0
43_165_028__s1,0.0
43_165_096__s1,0.0
43_165_134__s1,0.0
43_166_067__s1,0.0
43_166_077__s1,0.0
43_166_111__s1,1.0
43_177_095__s1,0.0
43_177_099__s1,0.0
43_177_172__s1,1.0
43_178_090__s1,0.0
43_178_118__s1,0.0
43_178_160__s1,0.0
43_178_186__s1,0.0
43_189_113__s1,0.0
43_189_114__s1,0.0
43_189_131__s1,0.0
43_189_169__s1,0.0
43_190_109__s1,0.0
13_105_074__s1,0.0
13_105_164__s1,0.0
13_106_009__s1,1.0
13_106_068__s1,0.0
13_106_076__s1,1.0
13_106_109__s1,0.0
13_106_150__s1,0.0
13_117_048__s1,0.0
13_117_101__s1,0.0
13_117_138__s1,0.0
13_118_164__s1,0.0
13_118_171__s1,0.0
13_129_030__s1,0.0
13_129_050__s1,0.0
13_129_100__s1,0.0
13_129_154__s1,0.0
13_130_033__s1,1.0
13_142_117__s1,0.0
13_142_153__s1,0.0
13_142_168__s1,0.0
13_153_099__s1,0.0
13_153_108__s1,0.0
13_153_130__s1,0.0
13_153_149__s1,0.0
13_154_041__s1,0.0
13_154_080__s1,0.0
13_154_089__s1,0.0
13_165_085__s1,0.0
13_165_130__s1,0.0
13_165_144__s1,0.0
13_166_024__s1,0.0
13_166_050__s1,0.0
13_166_059__s1,0.0
13_166_113__s1,0.0
13_166_150__s1,0.0
13_177_056__s1,0.0
13_177_082__s1,0.0
13_177_123__s1,0.0
13_177_144__s1,0.0
13_178_105__s1,0.0
13_178_172__s1,0.0
13_189_178__s1,0.0
13_190_017__s1,0.0
13_190_026__s1,0.0
13_190_094__s1,1.0
19_105_041__s1,0.0
19_105_074__s1,0.0
19_105_085__s1,0.0
19_105_114__s1,0.0
19_105_137__s1,0.0
19_105_158__s1,0.0
19_106_110__s1,0.0
19_106_113__s1,0.0
19_106_161__s1,1.0
19_106_192__s1,1.0
19_117_101__s1,0.0
19_117_146__s1,0.0
19_117_185__s1,1.0
19_118_139__s1,0.0
19_118_151__s1,0.0
19_129_032__s1,0.0
19_129_037__s1,0.0
19_129_072__s1,0.0
19_129_099__s1,0.0
19_130_113__s1,0.0
19_130_116__s1,0.0
19_130_118__s1,0.0
19_130_181__s1,0.0
19_141_088__s1,0.0
19_142_183__s1,0.0
19_153_105__s1,0.0
19_153_108__s1,0.0
19_153_147__s1,0.0
19_153_170__s1,1.0
19_154_045__s1,0.0
19_154_085__s1,0.0
19_154_161__s1,0.0
19_154_170__s1,0.0
19_165_006__s1,0.0
19_165_090__s1,0.0
19_165_095__s1,0.0
19_165_146__s1,0.0
19_165_177__s1,1.0
19_165_188__s1,0.0
19_166_082__s1,0.0
19_166_154__s1,0.0
19_166_191__s1,0.0
19_177_028__s1,1.0
19_177_042__s1,1.0
19_189_009__s1,0.0
19_189_076__s1,0.0
19_189_088__s1,0.0
19_190_084__s1,0.0
19_190_104__s1,0.0
19_190_106__s1,0.0
19_190_124__s1,1.0
19_190_133__s1,0.0
68_105_073__s1,0.0
68_105_146__s1,0.0
68_117_089__s1,1.0
68_117_102__s1,1.0
68_117_125__s1,0.0
68_118_050__s1,0.0
68_118_089__s1,0.0
68_118_192__s1,0.0
68_129_054__s1,0.0
68_129_055__s1,0.0
68_129_060__s1,0.0
68_129_091__s1,0.0
68_129_099__s1,0.0
68_129_145__s1,0.0
68_129_180__s1,0.0
68_130_015__s1,1.0
68_130_020__s1,0.0
68_130_048__s1,0.0
68_130_077__s1,1.0
68_130_187__s1,1.0
68_142_026__s1,0.0
68_142_033__s1,0.0
68_142_080__s1,0.0
68_142_082__s1,0.0
68_142_087__s1,0.0
68_142_150__s1,0.0
68_142_166__s1,0.0
68_142_182__s1,0.0
68_142_190__s1,0.0
68_154_052__s1,0.0
68_154_065__s1,0.0
68_154_178__s1,0.0
68_165_022__s1,0.0
68_165_041__s1,0.0
68_165_046__s1,0.0
68_165_049__s1,0.0
68_165_099__s1,0.0
68_165_141__s1,0.0
68_166_039__s1,0.0
68_177_118__s1,1.0
68_177_130__s1,0.0
68_177_137__s1,1.0
68_178_036__s1,1.0
68_189_017__s1,0.0
68_189_038__s1,0.0
68_189_053__s1,0.0
68_189_070__s1,0.0
68_189_188__s1,0.0
57_105_051__s1,0.0
57_105_108__s1,0.0
57_105_133__s1,1.0
57_105_159__s1,0.0
57_105_169__s1,0.0
57_106_071__s1,0.0
57_106_145__s1,0.0
57_106_147__s1,0.0
57_106_174__s1,0.0
57_117_048__s1,0.0
57_117_082__s1,1.0
