,doublet
57_117_087__s1,0.0
57_117_090__s1,0.0
57_117_132__s1,0.0
57_118_024__s1,0.0
57_118_100__s1,0.0
57_118_141__s1,0.0
57_129_033__s1,0.0
57_129_080__s1,0.0
57_129_142__s1,0.0
57_129_154__s1,0.0
57_129_156__s1,0.0
57_130_008__s1,0.0
57_130_010__s1,0.0
57_130_016__s1,0.0
57_130_040__s1,0.0
57_130_063__s1,0.0
57_130_088__s1,0.0
57_141_038__s1,0.0
57_141_056__s1,0.0
57_141_085__s1,0.0
57_141_088__s1,0.0
57_141_113__s1,0.0
57_141_137__s1,0.0
57_141_139__s1,0.0
57_141_191__s1,0.0
57_142_082__s1,0.0
57_142_139__s1,0.0
57_142_146__s1,1.0
57_142_149__s1,0.0
57_142_188__s1,0.0
57_153_012__s1,1.0
57_153_047__s1,0.0
57_153_069__s1,0.0
57_153_071__s1,0.0
57_153_138__s1,0.0
57_154_031__s1,0.0
57_165_046__s1,0.0
57_165_052__s1,0.0
57_165_118__s1,0.0
57_165_179__s1,0.0
57_166_034__s1,0.0
57_166_045__s1,0.0
57_166_058__s1,0.0
57_166_060__s1,0.0
57_166_140__s1,0.0
57_177_011__s1,0.0
57_177_063__s1,1.0
57_177_086__s1,0.0
57_177_169__s1,0.0
57_177_192__s1,0.0
57_178_011__s1,0.0
57_178_066__s1,0.0
57_178_083__s1,0.0
57_189_124__s1,0.0
57_189_171__s1,0.0
57_190_102__s1,0.0
57_190_137__s1,1.0
57_190_190__s1,0.0
57_190_191__s1,0.0
70_105_003__s1,0.0
70_105_028__s1,0.0
70_105_127__s1,0.0
70_105_189__s1,0.0
70_105_192__s1,0.0
70_106_083__s1,0.0
70_106_187__s1,1.0
70_117_010__s1,0.0
70_118_107__s1,0.0
70_118_109__s1,0.0
70_118_140__s1,0.0
70_129_014__s1,0.0
70_129_023__s1,0.0
70_129_066__s1,0.0
70_129_129__s1,0.0
70_130_030__s1,0.0
70_130_056__s1,0.0
70_141_005__s1,0.0
70_141_049__s1,0.0
70_141_060__s1,0.0
70_142_003__s1,0.0
70_142_020__s1,0.0
70_142_023__s1,0.0
70_142_036__s1,0.0
70_142_108__s1,0.0
70_142_109__s1,0.0
70_142_117__s1,0.0
70_142_141__s1,0.0
70_153_149__s1,0.0
70_153_161__s1,0.0
70_154_022__s1,0.0
70_154_091__s1,0.0
70_154_101__s1,0.0
70_165_181__s1,0.0
70_166_048__s1,0.0
70_166_075__s1,0.0
70_166_177__s1,0.0
70_166_190__s1,0.0
70_177_008__s1,0.0
70_177_155__s1,0.0
70_178_133__s1,1.0
70_190_156__s1,0.0
59_105_029__s1,0.0
59_105_098__s1,0.0
59_106_064__s1,0.0
59_106_109__s1,0.0
59_117_070__s1,0.0
59_117_083__s1,0.0
59_117_094__s1,0.0
59_117_132__s1,0.0
59_118_068__s1,0.0
59_118_125__s1,0.0
59_118_132__s1,0.0
59_129_014__s1,0.0
59_129_128__s1,0.0
59_130_028__s1,0.0
59_130_154__s1,0.0
59_130_182__s1,0.0
59_141_160__s1,0.0
59_153_043__s1,0.0
59_154_040__s1,0.0
59_154_147__s1,0.0
59_154_177__s1,0.0
59_165_172__s1,0.0
59_165_173__s1,0.0
59_166_028__s1,0.0
59_166_041__s1,0.0
59_166_133__s1,0.0
59_177_026__s1,1.0
59_177_122__s1,0.0
59_178_042__s1,0.0
59_178_060__s1,0.0
59_178_098__s1,0.0
59_178_148__s1,0.0
59_189_038__s1,0.0
59_190_079__s1,0.0
59_190_164__s1,1.0
59_190_192__s1,0.0
53_105_078__s1,0.0
53_117_048__s1,0.0
53_117_082__s1,0.0
53_117_085__s1,0.0
53_117_089__s1,0.0
53_117_119__s1,1.0
53_118_084__s1,1.0
53_118_099__s1,0.0
53_118_139__s1,0.0
53_129_162__s1,0.0
53_130_099__s1,0.0
53_130_132__s1,0.0
53_141_069__s1,0.0
53_141_186__s1,0.0
53_142_006__s1,0.0
53_153_131__s1,0.0
53_154_001__s1,0.0
53_154_029__s1,0.0
53_154_034__s1,0.0
53_154_061__s1,0.0
53_154_100__s1,0.0
53_165_046__s1,0.0
53_165_105__s1,0.0
53_166_001__s1,0.0
53_166_008__s1,0.0
53_166_023__s1,0.0
53_166_117__s1,0.0
53_177_022__s1,0.0
53_177_031__s1,0.0
53_177_095__s1,0.0
53_177_174__s1,0.0
53_178_024__s1,0.0
53_178_124__s1,0.0
53_178_154__s1,0.0
53_178_166__s1,0.0
53_189_123__s1,0.0
53_190_145__s1,0.0
41_105_051__s1,0.0
41_105_053__s1,0.0
41_106_102__s1,0.0
41_106_110__s1,0.0
41_106_130__s1,1.0
41_117_166__s1,0.0
41_130_060__s1,0.0
41_141_116__s1,0.0
41_142_048__s1,1.0
41_153_075__s1,1.0
41_154_048__s1,0.0
41_154_171__s1,0.0
41_154_172__s1,0.0
41_165_147__s1,0.0
41_166_119__s1,0.0
41_177_156__s1,0.0
41_177_183__s1,0.0
41_178_004__s1,0.0
41_178_099__s1,0.0
41_189_016__s1,0.0
41_189_036__s1,0.0
41_190_025__s1,0.0
41_190_114__s1,0.0
56_105_027__s1,0.0
56_105_122__s1,0.0
56_105_146__s1,0.0
56_106_126__s1,1.0
56_117_066__s1,0.0
56_117_105__s1,1.0
56_118_006__s1,0.0
56_118_022__s1,1.0
56_118_065__s1,0.0
56_118_130__s1,0.0
56_129_078__s1,0.0
56_129_109__s1,0.0
56_130_015__s1,0.0
56_130_092__s1,0.0
56_130_099__s1,0.0
56_130_177__s1,0.0
56_141_032__s1,0.0
56_141_098__s1,0.0
56_142_072__s1,0.0
56_153_020__s1,0.0
56_154_050__s1,0.0
56_154_064__s1,0.0
56_154_111__s1,0.0
56_165_008__s1,0.0
56_165_015__s1,0.0
56_165_029__s1,0.0
56_165_033__s1,0.0
56_165_061__s1,0.0
56_165_089__s1,0.0
56_165_094__s1,0.0
56_165_182__s1,0.0
56_165_184__s1,0.0
56_165_190__s1,0.0
56_177_006__s1,1.0
56_178_192__s1,0.0
56_189_065__s1,0.0
56_189_142__s1,0.0
56_190_086__s1,1.0
56_190_095__s1,0.0
56_190_122__s1,1.0
62_106_064__s1,0.0
62_106_174__s1,1.0
62_117_026__s1,0.0
62_117_080__s1,0.0
62_117_089__s1,0.0
62_118_047__s1,0.0
62_118_095__s1,0.0
62_118_144__s1,0.0
62_118_148__s1,0.0
62_141_025__s1,0.0
62_141_104__s1,0.0
62_153_099__s1,0.0
62_154_038__s1,0.0
62_154_120__s1,0.0
62_177_036__s1,0.0
62_177_144__s1,1.0
62_178_046__s1,0.0
62_178_139__s1,1.0
62_178_149__s1,0.0
62_189_084__s1,0.0
62_190_050__s1,0.0
62_190_087__s1,1.0
62_190_192__s1,0.0
51_105_079__s1,0.0
51_106_045__s1,0.0
51_117_043__s1,0.0
51_118_024__s1,0.0
51_118_099__s1,0.0
51_118_123__s1,0.0
51_129_023__s1,0.0
51_129_035__s1,0.0
51_129_107__s1,0.0
51_129_147__s1,0.0
51_129_161__s1,0.0
51_130_013__s1,0.0
51_130_060__s1,1.0
51_130_115__s1,0.0
51_130_139__s1,0.0
51_130_150__s1,0.0
51_130_169__s1,0.0
51_130_190__s1,0.0
51_153_045__s1,0.0
51_153_050__s1,0.0
51_153_115__s1,0.0
51_154_113__s1,0.0
51_154_158__s1,0.0
51_165_140__s1,0.0
51_165_152__s1,0.0
51_166_150__s1,0.0
51_166_177__s1,0.0
51_177_007__s1,0.0
51_177_025__s1,1.0
51_177_090__s1,1.0
51_177_093__s1,0.0
51_177_130__s1,0.0
51_178_151__s1,0.0
51_189_027__s1,0.0
51_189_137__s1,0.0
51_189_180__s1,0.0
51_190_051__s1,0.0
51_190_162__s1,0.0
83_105_123__s1,0.0
83_105_155__s1,0.0
83_106_015__s1,0.0
83_106_038__s1,0.0
83_106_157__s1,0.0
83_117_011__s1,0.0
83_117_016__s1,0.0
83_117_058__s1,0.0
83_117_172__s1,0.0
83_117_185__s1,0.0
83_117_191__s1,0.0
83_118_042__s1,0.0
83_118_109__s1,0.0
83_129_043__s1,0.0
83_129_077__s1,0.0
83_129_164__s1,0.0
83_130_082__s1,0.0
83_141_002__s1,0.0
83_141_048__s1,0.0
83_141_050__s1,0.0
83_141_110__s1,0.0
83_142_025__s1,0.0
83_142_086__s1,0.0
83_142_104__s1,0.0
83_142_130__s1,0.0
83_153_034__s1,1.0
83_153_052__s1,0.0
83_153_071__s1,0.0
83_153_172__s1,1.0
83_154_069__s1,0.0
83_154_082__s1,0.0
83_165_067__s1,0.0
83_165_163__s1,0.0
83_165_172__s1,0.0
83_165_174__s1,0.0
83_166_050__s1,0.0
83_166_051__s1,0.0
83_166_060__s1,0.0
83_166_117__s1,0.0
83_166_136__s1,0.0
83_177_035__s1,0.0
83_177_084__s1,0.0
83_177_106__s1,1.0
83_178_046__s1,0.0
83_178_049__s1,0.0
83_178_057__s1,0.0
83_178_066__s1,0.0
83_178_135__s1,0.0
83_178_139__s1,0.0
83_178_168__s1,0.0
83_189_017__s1,0.0
83_189_069__s1,0.0
83_189_090__s1,0.0
83_190_058__s1,0.0
83_190_077__s1,0.0
83_190_084__s1,1.0
83_190_102__s1,0.0
60_106_032__s1,0.0
60_106_066__s1,0.0
60_106_160__s1,1.0
60_118_037__s1,0.0
60_118_066__s1,0.0
60_118_078__s1,0.0
60_129_019__s1,0.0
60_129_059__s1,0.0
60_129_107__s1,0.0
60_129_132__s1,0.0
60_130_038__s1,0.0
60_130_111__s1,0.0
60_141_042__s1,0.0
60_141_138__s1,0.0
60_141_174__s1,0.0
60_142_061__s1,0.0
60_142_153__s1,0.0
60_153_025__s1,0.0
60_153_091__s1,1.0
60_153_150__s1,0.0
60_154_018__s1,0.0
60_154_035__s1,0.0
60_154_075__s1,0.0
60_154_107__s1,0.0
60_154_163__s1,0.0
60_165_086__s1,0.0
60_166_040__s1,0.0
60_166_074__s1,0.0
60_166_100__s1,0.0
60_166_154__s1,0.0
60_166_175__s1,0.0
60_177_005__s1,0.0
60_177_103__s1,0.0
60_177_109__s1,1.0
60_178_076__s1,0.0
60_189_021__s1,0.0
60_189_131__s1,0.0
60_189_167__s1,0.0
60_190_056__s1,1.0
60_190_096__s1,0.0
60_190_110__s1,0.0
31_105_027__s1,0.0
31_105_189__s1,1.0
31_106_132__s1,0.0
31_117_130__s1,0.0
31_117_151__s1,0.0
31_118_002__s1,0.0
31_118_047__s1,0.0
31_118_052__s1,0.0
31_118_108__s1,0.0
31_129_016__s1,0.0
31_129_021__s1,0.0
31_129_072__s1,0.0
31_130_081__s1,0.0
31_130_095__s1,0.0
31_141_114__s1,1.0
31_142_098__s1,0.0
31_142_142__s1,0.0
31_142_189__s1,0.0
31_153_056__s1,0.0
31_153_069__s1,0.0
31_153_073__s1,0.0
31_153_174__s1,0.0
31_154_085__s1,0.0
31_154_123__s1,0.0
31_154_128__s1,0.0
31_165_054__s1,0.0
31_165_058__s1,0.0
31_166_174__s1,0.0
31_177_041__s1,0.0
31_177_077__s1,0.0
31_178_006__s1,0.0
31_178_048__s1,0.0
31_178_063__s1,0.0
31_178_134__s1,0.0
31_190_035__s1,1.0
31_190_096__s1,0.0
31_190_098__s1,0.0
87_105_014__s1,0.0
87_105_121__s1,0.0
87_105_141__s1,0.0
87_117_085__s1,0.0
87_117_099__s1,0.0
87_117_109__s1,0.0
87_117_143__s1,0.0
87_117_159__s1,0.0
87_117_162__s1,0.0
87_118_113__s1,0.0
87_118_138__s1,0.0
87_129_012__s1,0.0
87_129_095__s1,0.0
87_129_134__s1,0.0
87_129_151__s1,0.0
87_129_164__s1,0.0
87_129_178__s1,0.0
87_130_048__s1,0.0
87_130_089__s1,0.0
87_142_060__s1,0.0
87_142_181__s1,0.0
87_153_012__s1,0.0
87_153_017__s1,0.0
87_153_046__s1,0.0
87_153_142__s1,0.0
87_153_172__s1,0.0
87_154_028__s1,0.0
87_154_067__s1,0.0
87_154_164__s1,0.0
87_165_096__s1,0.0
87_165_113__s1,0.0
87_166_087__s1,0.0
87_166_168__s1,0.0
87_177_073__s1,0.0
87_177_177__s1,0.0
87_178_042__s1,0.0
87_178_143__s1,0.0
87_189_013__s1,0.0
87_189_128__s1,0.0
87_189_166__s1,0.0
87_190_021__s1,1.0
87_190_160__s1,0.0
32_105_031__s1,0.0
32_105_038__s1,0.0
32_105_082__s1,0.0
32_105_089__s1,0.0
32_105_156__s1,0.0
32_106_039__s1,0.0
32_106_087__s1,0.0
32_106_092__s1,1.0
32_106_123__s1,1.0
32_117_025__s1,0.0
32_117_028__s1,0.0
32_117_039__s1,0.0
32_117_045__s1,0.0
32_117_072__s1,0.0
32_117_153__s1,0.0
32_117_186__s1,0.0
32_118_051__s1,0.0
32_118_057__s1,0.0
32_118_155__s1,1.0
32_129_037__s1,0.0
32_129_048__s1,0.0
32_130_011__s1,0.0
32_130_031__s1,0.0
32_130_191__s1,0.0
32_141_101__s1,0.0
32_141_127__s1,0.0
32_142_083__s1,1.0
32_142_147__s1,0.0
32_142_177__s1,0.0
32_153_056__s1,0.0
32_153_140__s1,0.0
32_154_057__s1,0.0
32_165_034__s1,0.0
32_165_156__s1,0.0
32_165_164__s1,0.0
32_166_061__s1,0.0
32_166_065__s1,0.0
32_166_155__s1,0.0
32_166_178__s1,0.0
32_177_041__s1,0.0
32_177_052__s1,1.0
32_177_062__s1,0.0
32_178_026__s1,0.0
32_178_083__s1,0.0
32_178_114__s1,0.0
32_178_132__s1,0.0
32_178_152__s1,0.0
32_189_109__s1,0.0
32_189_147__s1,0.0
32_189_156__s1,0.0
32_189_180__s1,0.0
32_190_053__s1,0.0
32_190_082__s1,0.0
32_190_093__s1,0.0
78_105_024__s1,0.0
78_105_139__s1,0.0
78_106_004__s1,1.0
78_106_061__s1,1.0
78_106_170__s1,0.0
78_106_177__s1,1.0
78_117_142__s1,1.0
78_117_171__s1,0.0
78_118_132__s1,0.0
78_129_029__s1,0.0
78_129_077__s1,0.0
78_129_140__s1,0.0
78_130_177__s1,0.0
78_141_040__s1,0.0
78_141_129__s1,0.0
78_141_132__s1,0.0
78_142_053__s1,0.0
78_142_186__s1,0.0
78_153_009__s1,0.0
78_153_013__s1,0.0
78_153_048__s1,0.0
78_153_150__s1,0.0
78_153_152__s1,0.0
78_154_091__s1,0.0
78_154_094__s1,0.0
78_165_043__s1,0.0
78_166_014__s1,0.0
78_166_123__s1,0.0
78_166_131__s1,0.0
78_166_143__s1,0.0
78_177_044__s1,0.0
78_177_144__s1,1.0
78_178_104__s1,0.0
78_178_120__s1,0.0
78_178_148__s1,0.0
78_178_167__s1,0.0
78_178_173__s1,0.0
78_178_176__s1,0.0
78_178_180__s1,0.0
78_189_004__s1,0.0
78_189_006__s1,0.0
78_189_018__s1,0.0
78_189_144__s1,0.0
78_190_039__s1,1.0
78_190_142__s1,0.0
78_190_155__s1,0.0
33_105_003__s1,0.0
33_105_016__s1,0.0
33_105_136__s1,0.0
33_105_186__s1,0.0
33_105_191__s1,0.0
33_106_027__s1,0.0
33_106_036__s1,1.0
33_106_052__s1,0.0
